sa1_7digitcode_2016,cluster
1100701,Rural
1100702,Rural
1100703,Country Towns
1100704,Country Towns
1100705,Country Towns
1100706,Semi-Rural
1100707,Rural
1100708,Rural
1100709,Semi-Rural
1100710,Rural
1100801,Country Towns
1100802,Semi-Rural
1100803,Country Towns
1100804,Country Towns
1100805,Country Towns
1100806,Rural
1100807,Country Towns
1100808,Country Towns
1100810,Semi-Rural
1100811,Rural
1100812,Inner Suburbs
1100813,Semi-Rural
1100814,Semi-Rural
1100815,Inner Suburbs
1100816,Country Towns
1100817,Semi-Rural
1100818,Country Towns
1100819,Semi-Rural
1100820,Semi-Rural
1100821,Semi-Rural
1100822,Leafy Suburbs
1100823,Semi-Rural
1100901,Semi-Rural
1100902,Semi-Rural
1100904,Semi-Rural
1100905,Semi-Rural
1100907,Inner Suburbs
1100908,CBD
1100909,CBD
1100910,Inner City
1100911,Inner Suburbs
1100912,Country Towns
1100913,Semi-Rural
1100914,Country Towns
1100915,Inner City
1100916,Inner Suburbs
1100917,Remote
1100918,Country Towns
1100919,Inner Suburbs
1100920,CBD
1100921,CBD
1100923,Semi-Rural
1100924,CBD
1100925,CBD
1100926,CBD
1100927,Inner Suburbs
1100928,Inner City
1100929,Inner City
1101001,Inner City
1101002,Leafy Suburbs
1101003,Leafy Suburbs
1101004,Semi-Rural
1101006,CBD
1101007,Inner City
1101008,Inner City
1101009,Country Towns
1101010,Inner City
1101011,Country Towns
1101012,Inner City
1101014,Leafy Suburbs
1101015,CBD
1101016,Semi-Rural
1101017,Inner City
1101101,Fringe-Growth
1101102,Leafy Suburbs
1101103,Semi-Rural
1101104,Remote
1101105,Leafy Suburbs
1101106,Leafy Suburbs
1101107,Semi-Rural
1101108,Country Towns
1101109,Leafy Suburbs
1101110,Leafy Suburbs
1101111,Semi-Rural
1101112,Semi-Rural
1101113,Semi-Rural
1101115,Semi-Rural
1101116,Rural
1101117,Semi-Rural
1101118,Rural
1101119,Leafy Suburbs
1101120,Leafy Suburbs
1101122,Leafy Suburbs
1101123,Semi-Rural
1101125,Semi-Rural
1101126,Semi-Rural
1101127,Leafy Suburbs
1101128,Semi-Rural
1101129,Semi-Rural
1101130,Leafy Suburbs
1101131,Leafy Suburbs
1101132,Leafy Suburbs
1101133,Leafy Suburbs
1101134,Leafy Suburbs
1101135,Leafy Suburbs
1101136,Leafy Suburbs
1101137,Leafy Suburbs
1101139,Leafy Suburbs
1101140,Leafy Suburbs
1101141,Semi-Rural
1101142,Semi-Rural
1101143,Fringe-Growth
1101144,Fringe-Growth
1101145,Semi-Rural
1101146,Semi-Rural
1101147,Fringe-Growth
1101148,Fringe-Growth
1101149,Fringe-Growth
1101150,Semi-Rural
1101151,Leafy Suburbs
1101152,Fringe-Growth
1101201,Inner Suburbs
1101202,Leafy Suburbs
1101203,Leafy Suburbs
1101204,Leafy Suburbs
1101205,Leafy Suburbs
1101206,Leafy Suburbs
1101207,Semi-Rural
1101208,Semi-Rural
1101209,Leafy Suburbs
1101210,Leafy Suburbs
1101211,Leafy Suburbs
1101212,Semi-Rural
1101213,Leafy Suburbs
1101214,Leafy Suburbs
1101215,Fringe-Growth
1101216,Leafy Suburbs
1101217,Remote
1101218,Semi-Rural
1101219,Inner Suburbs
1101220,Inner Suburbs
1101221,Fringe-Growth
1101222,Semi-Rural
1101223,Inner Suburbs
1101224,Leafy Suburbs
1101227,Leafy Suburbs
1101228,Semi-Rural
1101229,Semi-Rural
1101230,Country Towns
1101231,Leafy Suburbs
1101232,Leafy Suburbs
1101301,Rural
1101302,Country Towns
1101303,Country Towns
1101304,Rural
1101305,Rural
1101306,Rural
1101307,Rural
1101308,Rural
1101401,Country Towns
1101402,Country Towns
1101403,Country Towns
1101404,Country Towns
1101405,Country Towns
1101406,Rural
1101407,Country Towns
1101408,Rural
1101409,Country Towns
1101410,Country Towns
1101411,Remote
1101412,Country Towns
1101413,Country Towns
1101414,Rural
1101415,Country Towns
1101417,Inner Suburbs
1101418,Rural
1101419,Country Towns
1101502,Remote
1101503,Country Towns
1101505,Rural
1101511,Rural
1101512,Rural
1101514,Rural
1101515,Rural
1101516,Rural
1101517,Rural
1101518,Rural
1101519,Rural
1101520,Rural
1101521,Rural
1101522,Semi-Rural
1101523,Rural
1101524,Rural
1101601,Inner Suburbs
1101602,Country Towns
1101603,Rural
1101604,Semi-Rural
1101605,Inner Suburbs
1101606,Rural
1101607,Rural
1101608,Rural
1101609,Fringe-Growth
1101610,Rural
1101611,Remote
1101612,Remote
1101613,Semi-Rural
1101614,Inner City
1101615,Semi-Rural
1101616,Inner City
1101617,Inner Suburbs
1101618,Semi-Rural
1101619,Rural
1101620,Inner Suburbs
1101701,Country Towns
1101702,Country Towns
1101703,Country Towns
1101704,Country Towns
1101705,Remote
1101706,Remote
1101707,Leafy Suburbs
1101708,Country Towns
1101709,Semi-Rural
1101710,Country Towns
1101711,Rural
1101712,Country Towns
1101713,Country Towns
1101716,Country Towns
1101717,Remote
1101718,Remote
1101719,Country Towns
1101720,Rural
1101721,Country Towns
1101722,Country Towns
1101801,Rural
1101802,Rural
1101803,Rural
1101804,Country Towns
1101805,Rural
1101806,Country Towns
1101807,Country Towns
1101808,Country Towns
1101809,Remote
1101810,Country Towns
1101811,Country Towns
1101812,Country Towns
1101813,Leafy Suburbs
1101814,Country Towns
1101815,Country Towns
1101816,Country Towns
1101817,Country Towns
1101818,Country Towns
1101819,Country Towns
1101820,Country Towns
1101821,Country Towns
1101822,Remote
1101823,Remote
1101901,Country Towns
1101902,Country Towns
1101903,Country Towns
1101904,Country Towns
1101905,Country Towns
1101906,Country Towns
1101907,Country Towns
1101909,Country Towns
1101911,Rural
1101912,Country Towns
1101913,Country Towns
1101914,Rural
1101915,Rural
1101916,Semi-Rural
1101917,Rural
1101918,Rural
1101919,Rural
1101920,Country Towns
1101921,Semi-Rural
1101922,Country Towns
1101923,Country Towns
1102001,Rural
1102002,Rural
1102003,Rural
1102004,Rural
1102005,Rural
1102006,Rural
1102007,Rural
1102008,Rural
1102009,Rural
1102011,Rural
1102013,Country Towns
1102014,Rural
1102015,Rural
1102016,Rural
1102017,Rural
1102018,Rural
1102019,Rural
1102020,Rural
1102022,Rural
1102023,Rural
1102024,Rural
1102025,Country Towns
1102026,Rural
1102027,Rural
1102028,Rural
1102029,Rural
1102030,Country Towns
1102031,Rural
1102032,Rural
1102101,Country Towns
1102102,Country Towns
1102104,Country Towns
1102105,Country Towns
1102106,Country Towns
1102107,Country Towns
1102108,Country Towns
1102109,Rural
1102201,Rural
1102301,Country Towns
1102302,Country Towns
1102303,Rural
1102304,Rural
1102305,Country Towns
1102306,Country Towns
1102307,Country Towns
1102308,Country Towns
1102309,Country Towns
1102310,Country Towns
1102401,Rural
1102402,Rural
1102403,Country Towns
1102404,Rural
1102405,Rural
1102406,Rural
1102407,Rural
1102408,Country Towns
1102409,Rural
1102410,Rural
1102411,Rural
1102412,Rural
1102502,Country Towns
1102503,Remote
1102504,Inner City
1102505,Inner City
1102506,Country Towns
1102507,Rural
1102508,Country Towns
1102509,Country Towns
1102510,Rural
1102511,Rural
